index;headline_text
1;bla bla
2;A máquina está uma porcaria 
3;Estou arrependido ...vcs são péssimos estou aqui tentando transferência e vcs pedindo a merda de email e falando que está inválido...não indico vcs p ninguém 
4;usei menos de um mês precisei de ajuda para continuar usando abrir chamado que disseram que em 7 dias alguém mim ligaria e até hoje não aconteceu estou a sem ultilizar a maquina e perdendo vendas.
5;demora muito para aceitar o cartão dos clientes
6;Demora muito para passar a venda aprovada para o celular !!!
7;Um sistema mais seguro e melhor suporte ao cliente
8;Transferir os valores para conta corrente indicada respeitando as 24 horas. Isso não ocorre com rigor espero a data de transferência e ainda mais de 24 horas pra concluir a transferência da pague seguro pra minha conta.
9;O suporte é muito fraco, mudei meu plano para recebimento em 1 dia e a mensagem que deu, foi que na próxima venda seria normal. Fiz uma nova venda e novamente vou receber com 30 dias, porém para minha surpresa descontaram a taxa de 4,99%. Absurdo!
10;A visualizacao diaria ficou muito RUIM. A VISUALIZACAO ERA MELHOR
11;dispor de prestamos quando é nescesario
12;quando parcelado, depositar parceladamente, as taxas seriam mais baratas
13;comprei a minizinha chip e tinha propaganda de recarga de celular, até agora nao tenho!
14;moderninha pro muito lenta, wifi fica caindo o tempo todo, ja perdi vendas por causa dela, há situações que a conclusão do pagamento por cartão demora ate 10 minutos, absurdo. maquininha só conecta na rede 2g, não conecta na rede 3g.
15;Demora muito pra cair valor em minha conta pag seguro...
16;Melhorar suas taxas de juros.É muito altas.
17;Baixar um pouco as taxas
18;cartão ser como débito, ja que só passa se tiver saldo
19;Não consigo falar com ninguém, apenas com um robô. Tenho 12,00 em um outro cartão e gostaria de transferir para o novo cartão, não tenho nenhuma opção, a máquina não responde minhas necessidades.
20;Desburocratização de documentação 
21;MUITO RUIM E DEMORADO
22;Entregar a maquiniha quando compramos coisa que nunca recebi uma satisfação do por que 
23;treansferir as vendas para contas tanto juridica como fisica independente de como foram feita as vendas 
24;Voces são os pioneiros (banco digital), os melhores. Tem que estar sempre Ã  frente em benefí­cios dos bancos que estão chegando agora!
25;tudo
26;deixar a gente fazer as perguntas, porque não quero receber a vista  valores que sao feitos em 3 a 4 vezes , e cobrar um absurdo para antecipar os pagamentos, e reclamar com quem?
27;Alteração de cadastro mais facilitada e ágil
28;Bateria da minizinha dura pouco
29;bateria deveria durar mais tempo
30;Conseguir inserir fotos nos produtos
31;Exclusivamente taxas muito altas perdendo assim para outras 
32;SE a máquina dá defeito e o cliente precisa fazer as vendas pelo celular só recebe o valor das vendas em 30 dias.
